# Player's Handbook
Barbarian,Berserker
Barbarian,Totem Warrior
Bard,Lore
Bard,Valor
Cleric,Knowledge
Cleric,Life
Cleric,Light
Cleric,Nature
Cleric,Tempest
Cleric,Trickery
Cleric,War
Druid,Land
Druid,Moon
Fighter,Battle Master
Fighter,Champion
Fighter,Eldritch Knight
Monk,Four Elements
Monk,Open Hand
Monk,Shadow
Paladin,Ancients
Paladin,Devotion
Paladin,Vengeance
Ranger,Beast Master
Ranger,Hunter
Rogue,Arcane Trickster
Rogue,Assassin
Rogue,Thief
Sorcerer,Draconic
Sorcerer,Wild
Warlock,Archfey
Warlock,Fiend
Warlock,Great Old One
Wizard,Abjuration
Wizard,Conjuration
Wizard,Divination
Wizard,Enchantment
Wizard,Evocation
Wizard,Illusion
Wizard,Necromancy
Wizard,Transmutation
#
# Dungeon Master's Guide
Paladin,Oathbreaker
#
# Xanathar's
Barbarian,Ancestral Guardian
Barbarian,Storm Herald
Barbarian,Zealot
Bard,Glamour
Bard,Swords
Bard,Whispers
Cleric,Forge
Cleric,Grave
Druid,Dreams
Druid,Shepherd
Fighter,Arcane Archer
Fighter,Cavalier
Fighter,Samurai
Monk,Drunken Master
Monk,Kensei
Monk,Sun Soul
Paladin,Conquest
Paladin,Redemption
Ranger,Gloom Stalker
Ranger,Horizon Walker
Ranger,Monster Slayer
Rogue,Inquisitive
Rogue,Mastermind
Rogue,Scout
Rogue,Swashbuckler
Sorcerer,Divine Soul
Sorcerer,Shadow
Sorcerer,Storm
Warlock,Celestial,
Warlock,Hexblade
Wizard,War
#
# Eberron
Artificer,Alchemist
Artificer,Artllerist
Artificer,Battle Smith
#
# Ravnica
Cleric,Order
Cleric,Spores
#
# Wildemount
Fighter,Echo Knight
Wizard,Chronurgy
Wizard,Graviturgy
#
# Tasha's
Artificer,Armorer
Barbarian,Beast
Barbarian,Wild Magic
Bard,Creation
Bard,Eloquence
Cleric,Peace
Cleric,Twilight
Druid,Stars
Druid,Wildfire
Fighter,Psi Warrior
Fighter,Rune Knight
Monk,Mercy
Monk,Astral Self
Paladin,Glory
Paladin,Watchers
Ranger,Fey Wanderer
Ranger,Swarmkeeper
Rogue,Phantom
Rogue,Soulknife
Sorcerer,Aberrant Mind
Sorcerer,Clockwork Soul
Warlock,Fathomless
Warlock,Genie
Wizard,Bladesinging
Wizard,Scribes
#
# Sword Coast's Adventurer's Guide
Barbarian,Battlerager
Cleric,Arcana
Fighter,Purple Dragon Knight
Monk,Long Death
Paladin,Crown
Warlock,Undying
